pattern_id,Split_0,Split_1,Split_2,Split_3,Split_4
0,train,train,test,train,train
1,test,train,train,train,train
2,train,train,test,train,train
4,train,train,test,train,train
5,train,train,train,test,train
6,train,train,test,train,train
7,test,train,train,train,train
12,train,test,train,train,train
13,train,train,train,train,test
14,train,train,train,train,test
15,train,test,train,train,train
16,train,test,train,train,train
17,test,train,train,train,train
18,train,train,train,train,test
19,train,train,test,train,train
20,train,test,train,train,train
21,test,train,train,train,train
22,train,train,test,train,train
23,train,test,train,train,train
24,train,test,train,train,train
25,train,train,train,test,train
26,train,test,train,train,train
27,train,test,train,train,train
28,train,train,train,train,test
29,train,train,train,train,test
30,train,train,train,train,test
31,train,train,test,train,train
32,test,train,train,train,train
33,test,train,train,train,train
34,test,train,train,train,train
35,train,test,train,train,train
36,test,train,train,train,train
37,train,train,test,train,train
38,test,train,train,train,train
39,train,train,train,test,train
40,test,train,train,train,train
41,train,train,train,test,train
42,train,train,test,train,train
43,test,train,train,train,train
44,train,train,test,train,train
45,train,test,train,train,train
46,train,test,train,train,train
48,train,train,train,test,train
49,test,train,train,train,train
50,train,train,train,train,test
51,train,train,train,train,test
52,test,train,train,train,train
53,train,train,train,test,train
54,train,train,test,train,train
55,train,train,train,train,test
56,train,train,test,train,train
57,train,test,train,train,train
58,test,train,train,train,train
59,train,train,train,train,test
60,train,train,train,train,test
61,train,train,test,train,train
62,test,train,train,train,train
63,train,train,test,train,train
64,train,test,train,train,train
65,train,train,train,train,test
66,train,train,train,test,train
67,train,train,test,train,train
68,train,train,train,train,test
69,train,train,train,train,test
70,train,train,test,train,train
71,train,test,train,train,train
72,train,train,train,test,train
73,train,train,train,test,train
74,test,train,train,train,train
75,train,train,train,train,test
76,train,train,train,train,test
77,train,train,train,train,test
78,train,train,train,test,train
79,test,train,train,train,train
80,train,train,train,test,train
81,train,train,test,train,train
82,test,train,train,train,train
83,train,test,train,train,train
84,train,train,train,test,train
85,test,train,train,train,train
86,train,test,train,train,train
87,test,train,train,train,train
88,train,train,test,train,train
89,train,train,train,train,test
90,train,train,train,test,train
91,train,train,train,test,train
92,train,train,test,train,train
93,test,train,train,train,train
94,train,train,train,train,test
95,train,train,train,test,train
96,test,train,train,train,train
97,train,test,train,train,train
98,train,train,test,train,train
99,train,train,test,train,train
100,train,train,train,test,train
101,train,train,train,test,train
102,train,train,test,train,train
103,train,train,train,test,train
104,train,test,train,train,train
105,train,train,train,train,test
106,train,train,train,test,train
107,train,train,train,test,train
108,train,train,test,train,train
109,train,train,train,test,train
110,train,train,train,test,train
111,train,train,train,test,train
112,train,train,test,train,train
113,train,train,test,train,train
114,test,train,train,train,train
115,train,test,train,train,train
116,train,train,train,train,test
117,train,train,train,train,test
118,train,train,train,test,train
119,test,train,train,train,train
120,train,train,train,test,train
